year,Asthma,COVID-19,Chronic obstructive pulmonary disease,Diabetes mellitus type 2,Diarrheal diseases,Drug-susceptible tuberculosis,Falls,Hypertensive heart disease,Intracerebral hemorrhage,Ischemic heart disease,Ischemic stroke,Lower respiratory infections,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Peptic ulcer disease,Rheumatic heart disease,Self-harm by other specified means,Total Cancers excluding Non-melanoma skin cancer,Total burden related to hepatitis B,Total cancers
2000,0.01377995941525414,0.0,0.06250687479270187,0.012974617106436482,0.06070488392322117,0.0482068236641983,0.010166720103938114,0.009406397600296589,0.029351652560469708,0.06541312447811985,0.02142044264705116,0.08730882390016621,0.040497852418722925,0.022744304844104894,0.014359314098936819,0.018228735341001095,0.01374920281227218,0.04380609719423451,0.010101053046869514,0.043984443347095926
2001,0.014078014067943604,0.0,0.06517826261079578,0.01370838495563252,0.05733219871949067,0.04610562364078188,0.010439443978485228,0.009918659182672988,0.03026864813406101,0.06934353349545376,0.022555394013148152,0.08462133981065864,0.03998412339545278,0.02146538186776927,0.01407194183005918,0.018736210703457764,0.01422533812094002,0.04565349180479025,0.010453660455604535,0.04584224781165913
2002,0.01406763532790857,0.0,0.06651520641810568,0.014108466791132212,0.052212271735395284,0.04297255858182401,0.010483555675198585,0.01014647672134067,0.030309767865262995,0.07129297776711346,0.023033072778782252,0.08008563578780349,0.03864122003190143,0.019645142922188663,0.013456739613267847,0.018712440606632758,0.014362990972241077,0.04623314711404377,0.010544491626243033,0.04642727919906034
2003,0.01452543527239775,0.0,0.07012148418169208,0.015305591607964412,0.04962602671750211,0.04179796406637538,0.010884348787908081,0.010795949885992888,0.032083322149007526,0.07620670833013296,0.024871517385108764,0.07803940290251069,0.038650982389722796,0.019252620894380998,0.013348666191931929,0.019510878914075984,0.015068832511549871,0.048401191651127135,0.010838694094248098,0.04860688061590582
2004,0.014784981680504907,0.0,0.07254377038650547,0.016341086104109795,0.046744305127591215,0.040239590846173595,0.011036648030792875,0.01115799408648038,0.033002496374928955,0.07864561529415715,0.02609594302576897,0.07469062609482066,0.03770574174636662,0.018400378362217223,0.013031808035977248,0.019867099683564808,0.015548018669038367,0.049410624213794115,0.010901370008070203,0.04962314272160835
2005,0.01526267964128011,0.0,0.07556173199184933,0.017594800628331474,0.04649461302369585,0.039445582225766225,0.011517029834606582,0.01153554440817738,0.03396525350582552,0.08101420025288648,0.027321734948710878,0.0752152493569758,0.03706257866911464,0.017619020103439405,0.012906583520870716,0.020394830264505705,0.016345002628062953,0.05111278995667727,0.011123774810213727,0.051334238584152696
2006,0.015730395275136068,0.0,0.07877137547603284,0.01902407648683703,0.04505140032318261,0.03911948152821667,0.011863758348526765,0.011821951711566525,0.03469564603616984,0.08167680081444961,0.02800615829785759,0.07456394776319955,0.03631058858257579,0.01678983923590785,0.01288746808108841,0.020749412311022116,0.017296457627885984,0.0525425315935133,0.011414773615997123,0.05277230660486035
2007,0.015976192533161175,0.0,0.08160742549704864,0.020482682617580805,0.04093799237696398,0.038751074220511966,0.01209668991501987,0.012059824551175963,0.03528313655475932,0.08207594597260234,0.028758881043812707,0.0717283282962594,0.034856295501992214,0.01800727670525532,0.01287274994813868,0.02084107046601957,0.01807351667869925,0.053643215596761544,0.01163677280655764,0.053881670324851534
2008,0.01618810892986962,0.0,0.08400197298748871,0.021968548431581393,0.03688519511456648,0.038468881647502534,0.012323957008991278,0.012296512572326068,0.035892046418802934,0.08149801974990145,0.029260911780890953,0.0679198863770952,0.03345907755687228,0.01903994437622815,0.012845208712505437,0.020943543240465202,0.01883791303112471,0.05466405430482772,0.011853962797141954,0.05491098111776715
2009,0.016360347069472397,0.0,0.08595756233477754,0.02344439387112177,0.035261563609781714,0.03804392949938193,0.012601819570046755,0.01254730055353168,0.03657303392516984,0.08112646410247133,0.02981320139498863,0.06426120176344882,0.031841844346015356,0.019877934674495064,0.012779434462273854,0.02108716076286434,0.019533233293195902,0.05581441344497343,0.012038204730180014,0.05606998387159025
2010,0.016650282615157216,0.0,0.08818563653815538,0.024965264961139412,0.030735286631243343,0.03757570375316474,0.012747537119028837,0.012746731994901402,0.0371467002648887,0.08115346458113351,0.030357121198340956,0.0603674493632392,0.030243342438533497,0.02055645791934873,0.012726768204972792,0.02104142944247709,0.020179050337771058,0.05654737946408725,0.012156882502948687,0.056809689564122134
2011,0.017554813728307823,0.0,0.09100329844451556,0.02604975555161679,0.027951978422217603,0.036683308738213384,0.012730774591648853,0.012850643286295826,0.03783920669784163,0.08568158806078888,0.03214504264462984,0.0564360211104118,0.028472990494382188,0.021034067959423912,0.01245899283572131,0.02095552190098764,0.02055169462587613,0.0567461740163302,0.012067734325559592,0.05701108439310561
2012,0.018780305993672787,0.0,0.09401499218023761,0.026774137628449653,0.025861717166824075,0.03509431203330125,0.012733801403050077,0.012933849269822197,0.03847856390744166,0.09244423333245436,0.03433572177961522,0.053157957885561824,0.026835274217786555,0.021333754428393345,0.012083892206426233,0.020919094858387683,0.020646173741063163,0.05710427370671534,0.011865474591118004,0.057371397859947465
2013,0.019332968136661726,0.0,0.09738606680108385,0.028124198432593568,0.02505024049286691,0.03412480183138102,0.01307256400106575,0.01311714620695166,0.03865978152902726,0.09155786690555996,0.033817103350020236,0.05221901411939645,0.025315603349708372,0.021567438279530126,0.012026164231731355,0.020965183991744497,0.02089274010536574,0.058596539193003436,0.011918063851905948,0.058871521675150196
2014,0.01997353608514018,0.0,0.10019981302798289,0.02909741303899755,0.023516848088522772,0.03277515501088552,0.013184078374521317,0.01331382231726213,0.038957891610535686,0.09284764126754048,0.033827347340738605,0.05082053719074751,0.024118371242476712,0.020328829180014638,0.011835044037595062,0.020926919320630486,0.020964422056228484,0.059799988672181476,0.011817000993984314,0.060082246026462255
2015,0.019316853425625585,0.0,0.09912241954088111,0.029314618607135665,0.02114353076316365,0.030828227334714138,0.012724228659938166,0.012919042865948561,0.03702926526956097,0.0858854566171097,0.031138215148940194,0.047970988810330066,0.02208373851137648,0.01840914891312445,0.011456151657743314,0.019833725954000278,0.020358422152238497,0.05832275064654737,0.011483700794028053,0.05860043756411576
2016,0.020584101133039306,0.0,0.10651527173475857,0.03160451817450777,0.020505822302732554,0.0313745003704448,0.013392094836302207,0.013835697015471445,0.03915195558813583,0.09063150568128293,0.032609422724047515,0.04924587832978474,0.022205914202209475,0.018039492166764964,0.011924591129150319,0.02076595011606522,0.021516958315580155,0.06252223766710396,0.012079955096170795,0.06282311476745873
2017,0.020248051104697466,0.0,0.10893950557903201,0.03295642830113974,0.019584801329097005,0.030641603007428138,0.013695970057109333,0.014092995130759395,0.039270976481696585,0.08849487678954489,0.03199788053814963,0.04845546255293881,0.02090965896773659,0.017534954800173804,0.012009678322473322,0.02064811746388155,0.02170799628493456,0.06401769862668454,0.012339169469457126,0.06433027417546212
2018,0.02043418349934247,0.0,0.11116532295554137,0.03382380490052987,0.0183536613258068,0.02961657479038371,0.01380349236178151,0.014340934702162422,0.03984582447365359,0.08999476977306807,0.03269962203289154,0.046876410917879044,0.019616309345124535,0.016868151517315758,0.011987978067840327,0.02050026794915803,0.021657615994096612,0.06502144972486924,0.012402299800425818,0.06534325389491553
2019,0.020166761306401933,0.0,0.11314135791397889,0.03509330122068995,0.01746451376630172,0.028747967479619066,0.014059828139423882,0.014695520364659272,0.040146408930068024,0.08852880759385476,0.032472188746230084,0.04596438823521133,0.018316330065748166,0.016138373435825276,0.012049032697544638,0.02032451523998921,0.02171002285752131,0.06660540281111912,0.012556562593912579,0.0669394354815094
2020,0.01721330489594274,0.09911437387845012,0.09630025406957823,0.0331367814140405,0.015574228688712218,0.024377194245181356,0.013264010543326774,0.013842575925443237,0.036801990778148934,0.07747814461413417,0.028542496672784523,0.036481980665243774,0.01620106261626883,0.01443469581041101,0.010573005272923104,0.018467251415251906,0.019843856530605174,0.06348817168816047,0.011508897702286977,0.0638090802087092
2021,0.014257882708015372,0.21313319510084247,0.07835243776753813,0.026698555239516766,0.01207906046169257,0.01784759748461501,0.012273339369198171,0.012929699134792489,0.03466117149221066,0.07819223375286015,0.027548355078215594,0.027951349352306816,0.013285511925955682,0.012258095672705742,0.00789238189285954,0.017222643025110847,0.01565078585417254,0.05977512491066473,0.009183762480771933,0.06007793377170027
